company_name,country,hall,booth,brands,representatives,source_page_url,source_record_url
UNITED MACHINING TURKEY MAKİNE TİC. LTD. ŞTİ.,Türki̇ye,4,401,"Mikron MILL, Agie Charmilles, Liechti, Charmilles, Step-Tec, System 3R, United Machining Additive",United MachininG Sales Switzerland SA,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/united-machining-turkey-makine-tic-ltd-sti
UNIVERSAL AŞINDIRICI SİSTEMLERİ SAN. VE TİC. A.Ş.,Türki̇ye,11,1110,,"Tyrolit Schleifmittelwerke Swarovski K.G., Tyrolit Schleifmittelwerke Swarovski K.G., GYSL Abrasives Company, Poltava Diamond Tools",https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/universal-asindirici-sistemleri-san-ve-tic-as
Uniz,China,12,1213,,,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/uniz
UPU.İO - BACA MÜHENDİSLİK AŞ,Türki̇ye,12A,58B,,,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/upuio-baca-muhendislik-as
US WHEELER,China,12,1208A,,,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/us-wheeler
UZAY MAKİNA TAKIM TEZ. SAN VE TİC A.Ş.,Türki̇ye,3,301,,,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/uzay-makina-takim-tez-san-ve-tic-as
UĞURSAN MAK.KALIP SAN. CNC TAKIM TEZ. BİLG. SİS. LTD. ŞTİ.,Türki̇ye,5,502,JOINT,,https://www.maktekfuari.com/en/exhibitor-list?page=85,https://www.maktekfuari.com/en/brand/ugursan-makkalip-san-cnc-takim-tez-bilg-sis-ltd-sti
VAN CNC TAKIM TEZGAHLARI SAN. VE TİC. A.Ş.,Türki̇ye,10,1013,VAN Precision Engineering,,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/van-cnc-takim-tezgahlari-san-ve-tic-as
VATAN CNC TAKIM TEZGAHLARI SAN TİC LTD ŞTİ,Türki̇ye,12,1209,,Haitian Precision Machinery,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/vatan-cnc-takim-tezgahlari-san-tic-ltd-sti
VE VERNET BEHRINGER,France,3,317A,,,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/vernet-behringer
VECTORMACH ENDÜSTRİ TEKNOLOJİ A.Ş.,Türki̇ye,6,604B,Haozhi & Infranor,"HAOZHI, Guangzhou Haozhi Industrial Co., Ltd.",https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/vectormach-endustri-teknoloji-as
VERA OTOMASYON MAKİNA SAN. VE DIŞ TİC. LTD. ŞTİ.,Türki̇ye,2,222B,S.A.D.,,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/vera-otomasyon-makina-san-ve-dis-tic-ltd-sti
"VERTEX MACHINERY WORKS CO. ,LTD.",Tayvan,11,1148A,,,https://www.maktekfuari.com/en/exhibitor-list?page=86,https://www.maktekfuari.com/en/brand/vertex-machinery-works-co-ltd
VEYSEL KÜTÜKLÜ MAK. SAN. VE TİC. A.Ş.,Türki̇ye,12A,44B Hall: 11 Booth: 1116B,VABS OVALAMA APARATLARI,,https://www.maktekfuari.com/en/exhibitor-list?page=87,https://www.maktekfuari.com/en/brand/veysel-kutuklu-mak-san-ve-tic-as
Veze,China,12A,27,,,https://www.maktekfuari.com/en/exhibitor-list?page=87,https://www.maktekfuari.com/en/brand/veze
"VIBRO-LASER INTERNATIONAL CO.,LTD.",South Korea,6,608,,,https://www.maktekfuari.com/en/exhibitor-list?page=87,https://www.maktekfuari.com/en/brand/vibro-laser-international-coltd
VICI VISION,Italy,11,1147 - 1146,,,https://www.maktekfuari.com/en/exhibitor-list?page=87,https://www.maktekfuari.com/en/brand/vici-vision
Victor Taichung,Tayvan,7,707B,,,https://www.maktekfuari.com/en/exhibitor-list?page=87,https://www.maktekfuari.com/en/brand/victor-taichung
Virtek Vision International,Canada,5,508,,,https://www.maktekfuari.com/en/exhibitor-list?page=87,https://www.maktekfuari.com/en/brand/virtek-vision-international
Vision Wide,Tayvan,7,707B,,,https://www.maktekfuari.com/en/exhibitor-list?page=87,https://www.maktekfuari.com/en/brand/vision-wide
